Sandwich premium 85 g,"0,69 zł"
Sandwich premium z serem 105 g,"1,99 zł"
Tesco Minipizza 90 g,"1,99 zł"
Benus Bułka tarta pszenna luksusowa 400 g,"2,99 zł"
Tesco Bułka tarta pszenna drobno mielona 400 g,"2,49 zł"
Z Dobrego Ziarna Bułka tarta dobre ziarno 400 g,"1,99 zł"
Donut z białą wanilią 58 g,"1,69 zł"
Donut z cukrem 49 g,"0,89 zł"
Donut z polewą czekoladową 55 g,"1,69 zł"
Donut z polewą truskawkową 58 g,"1,69 zł"
Drożdżówka z marmoladą 80 g,"1,39 zł"
Drożdżówka z serem 80 g,"1,39 zł"
Pączek z kremem waniliowym,"1,19 zł"
Pączek z nadzieniem o smaku ajerkoniak,"1,19 zł"
Pączek z nadzieniem o smaku czekoladowym,"1,19 zł"
Pączek z nadzieniem o smaku marmolady,"1,19 zł"
Pączek z nadzieniem o smaku różanym,"1,19 zł"
Pączek z nadzieniem o smaku toffi,"1,19 zł"
Brzoskwinia po szwajcarsku 80 g,"2,19 zł"
Bułeczka drożdżowa z kruszonką,"0,79 zł"
Ciastko truskawkowy duet 95 g,"2,19 zł"
Ciastko z czekoladą 70 g,"1,69 zł"
Ciasto ze słodkim nadzieniem i migdałami,"2,19 zł"
Croissant maślany 50 g,"1,19 zł"
Jabłko po szwajcarsku 80 g,"2,19 zł"
TOREBKA Z SEREM  75g. szt.,"2,19 zł"
Wiśnia po szwajcarsku 80 g,"2,19 zł"
Ciasteczka bakaliowe z żurawiną 250 g,"5,99 zł"
Ciasteczka owsiane 350 g,"5,99 zł"
Ciasteczka z ziarnem dyni 300 g,"5,99 zł"
Cukiernia Beskidzka Kokosanki 200 g,"5,99 zł"
Cukiernia Beskidzka Pischinger 200 g,"6,99 zł"
Cukiernia Mikołaj Słomka ciasteczka ptysiowe 100 g,"5,29 zł"
Dan Cake Bułeczki mleczne 400 g (10 sztuk),"5,99 zł"
Florentynki Ciasteczka z ziarnami 300 g,"5,99 zł"
Mark Sękacz mazurski,"26,46 zł"
Oskroba Drożdżówka z budyniem 80 g,"1,19 zł"
Owczarek Tarta orzechowo-czekoladowa 75 g,"1,49 zł"
Secpol Sękacz królewski w polewie czekoladowej 200 g,"8,49 zł"
Stokrotki Ciasteczka z marmoladą 350 g,"5,99 zł"
Tesco Bułeczki mleczne 400 g (10 sztuk),"5,99 zł"
Tesco Bułeczki z kawałkami czekolady 350 g (10 sztuk),"6,99 zł"
Tesco Gofry 250 g (12 sztuk),"3,49 zł"
Trésors Bajaderki czekoladowe 270 g (3 sztuki),"6,49 zł"
Babka o smaku waniliowym 400 g,"6,99 zł"
Ciasto marmurkowe 500 g,"6,99 zł"
Ciasto o smaku cytrynowym 500 g,"6,99 zł"
Dan Cake Ciasto marmurkowe 400 g,"4,99 zł"
Gusparo Rolada biszkoptowa z nadzieniem kakaowym 250 g,"4,99 zł"
Olvike Ciasto Czarny Las 500 g,"12,49 zł"
Olvike Ciasto Porzeczkowy Nicpoń 650 g,"16,99 zł"
Olvike Ciasto Pupil 500 g,"14,49 zł"
Olvike Tort Royal Brandy 1 kg,"37,99 zł"
Oskroba Babka marmurkowa 400 g,"7,99 zł"
Oskroba Babka o smaku cytrynowym 400 g,"7,99 zł"
Oskroba Keks angielski 450 g,"7,99 zł"
Oskroba Makowiec 450 g,"6,99 zł"
Oskroba Placek drożdżowy 400 g,"3,99 zł"
Oskroba Strucla jabłkowa 450 g,"5,99 zł"
Oskroba Strucla owocowa 450 g,"4,99 zł"
Oskroba Strucla serowa 450 g,"4,99 zł"
Oskroba Strucla truskawkowa 450 g,"5,99 zł"
Owczarek Ciasto Smak babuni cytrynowy 470 g,"8,99 zł"
PIERNIK TESCO 500g,"5,49 zł"
Tesco Strucla z serem i rodzynkami 450 g,"4,59 zł"
Tesco Strucla z wiśniami 450 g,"4,59 zł"
Ciasto jogurtowe,"1,40 zł"
Ciasto marchewkowe,"1,30 zł"
Tort tiramisu mały 500 g,"14,99 zł"
Big Bite! Tost pszenny Chleb tostowy pszenny krojony 800 g,"4,89 zł"
Oskroba Tost pełnoziarnisty Chleb pszenny 500 g,"3,99 zł"
Oskroba Tost pszenny Chleb pszenny 500 g,"3,99 zł"
Oskroba Tost pszenny Chleb pszenny krojony na tosty i kanapki 250 g,"2,59 zł"
Oskroba Tost trzy ziarna Chleb pszenny 500 g,"3,99 zł"
Schulstad Tost pszenny Chleb tostowy 300 g,"4,09 zł"
Schulstad Tost pszenny Chleb tostowy 600 g,"6,49 zł"
Schulstad Tost trzy ziarna Chleb tostowy 600 g,"6,49 zł"
Tesco Tost 3 ziarna Chleb tostowy pszenny z dodatkiem ziaren krojony 500 g,"2,49 zł"
Tesco Tost maślany Chleb tostowy pszenny z masłem krojony 500 g,"2,49 zł"
Tesco Tost pełnoziarnisty 500 g,"2,49 zł"
Tesco Tost pszenny Chleb tostowy pszenny krojony 500 g,"2,29 zł"
US Tost Chleb tostowy 750 g,"4,79 zł"
US Tost z ziarnami Chleb tostowy 750 g,"4,79 zł"
Dan Cake Bułeczki pszenne do domowego odpieku 300 g (6 sztuk),"3,99 zł"
Oskroba Hamburger Bułka pszenna 240 g (4 sztuki),"3,59 zł"
Oskroba Hot-Dog Bułka pszenna 240 g (4 sztuki),"3,39 zł"
Skoga Hamburger Maxi Bułki sezamowe do hamburgerów 328 g (4 sztuki),"7,39 zł"
Spody do pizzy 400 g (2 sztuki),"3,29 zł"
Tesco Bułeczki ciabatki do samodzielnego wypiekania 300 g (5 sztuk),"3,59 zł"
Tesco Bułki Hot-Dog do samodzielnego wypiekania 240 g (4 sztuki),"4,49 zł"
Tesco Bułki kajzerki do samodzielnego wypiekania 300 g (6 sztuk),"3,99 zł"
Tesco Pitta grahamka 350 g (5 sztuk),"5,99 zł"
Tesco Pitta Kieszonki chlebowe 350 g (5 sztuk),"4,99 zł"
Tesco Pół bagietki 300 g (2 sztuki),"3,99 zł"
Tesco Wraps Placki pszenne tortilla 250 g (4 sztuki),"3,89 zł"
Tesco Wraps Placki pszenne tortilla 375 g (6 sztuk),"5,69 zł"
US Hamburger Bułki do hamburgerów 318 g (6 sztuk),"4,99 zł"
US Hot Dog Bułki do hot dogów 240 g (4 sztuk),"3,99 zł"
Chaber Pieczywo chrupkie graham 200 g,"3,99 zł"
Chaber Pieczywo chrupkie żytnie 200 g,"3,99 zł"
Chaber Pieczywo maca tradycyjna 180 g,"2,49 zł"
Chaber Pieczywo maca z pomidorami i bazylią 180 g,"2,49 zł"
Country Barn Pieczywo chrupkie żytnie pełnoziarniste 105 g,"2,49 zł"
Country Barn Wafle ryżowe naturalne 100 g,"1,99 zł"
Country Barn Wafle ryżowe ze słonecznikiem 100 g,"1,99 zł"
Good Food Jumbo Wafle ryżowe o smaku kwaśnej śmietany z cebulą 145 g (12 sztuk),"3,89 zł"
Good Food Jumbo Wafle ryżowe o smaku paprykowym 145 g (12 sztuk),"3,89 zł"
Good Food Solone wafle kukurydziane extra cienkie 105 g (21 sztuk),"3,19 zł"
Good Food Wafle ryżowe musli 100 g (10 sztuk),"2,89 zł"
Good Food Wafle ryżowe naturalne 100 g (10 sztuk),"2,89 zł"
Good Food Wafle ryżowe naturalne extra cienkie 90 g (21 sztuk),"3,19 zł"
Good Food Wafle ryżowe wieloziarniste 100 g (10 sztuk),"2,89 zł"
Good Food Wafle ryżowe z solą morską 100 g (10 sztuk),"2,89 zł"
Kupiec Crunchella Natural Delikatne wafle pszenno-ryżowe 44 g,"2,99 zł"
Kupiec Maca tradycyjna 160 g,"2,69 zł"
Kupiec Pieczywo Maca razowa 160 g,"2,69 zł"
Kupiec Pieczywo Maca z czosnkiem 160 g,"2,69 zł"
Kupiec Pieczywo Maca z otrębami 160 g,"2,69 zł"
Kupiec Pieczywo Maca z ziołami prowansalskimi 160 g,"2,69 zł"
Kupiec Podpłomyki delikatesowe bezcukrowe Wafle suche 145 g (16 sztuk),"2,99 zł"
Kupiec Slim Wafle ryżowe wieloziarniste 90 g (18 sztuk),"2,79 zł"
Kupiec Slim Wafle ryżowe ze słonecznikiem 84 g (18 sztuk),"2,79 zł"
Kupiec Wafle ryżowe naturalne 120 g (12 sztuk),"2,79 zł"
Kupiec Wafle ryżowe z kukurydzą 100 g (10 sztuk),"2,79 zł"
Kupiec Wafle ryżowe z sezamem Slim 90 g (18 sztuk),"2,79 zł"
Kupiec Wafle ryżowe z solą morską 120 g (12 sztuk),"2,79 zł"
Mamut Groszek ptysiowy 80 g,"4,59 zł"
Mamut Grzanki ziołowe 150 g,"3,69 zł"
Mamut Sucharki bez dodatku cukrów 285 g,"4,49 zł"
Mamut Sucharki delikatesowe extra 290 g,"4,49 zł"
San Bieszczadzkie Suchary 90 g,"2,49 zł"
Sonko Dark Wafle ryżowe w czekoladzie deserowej 65 g,"3,49 zł"
Sonko Milk Wafle ryżowe w czekoladzie mlecznej 65 g,"3,49 zł"
Sonko Mini sucharki 120 g,"3,79 zł"
Sonko Musli z algami morskimi bananem i kokosem 130 g,"3,19 zł"
Sonko Pieczywo Lekkie 7 ziaren 170 g,"3,19 zł"
Sonko Pieczywo Lekkie 7 ziaren 340 g,"6,29 zł"
Sonko Pieczywo Lekkie błonnikowe 170 g,"3,19 zł"
